155,lavender_blue,Lavender Blue,#ccf,204,204,255
156,lavender_pink,Lavender Pink,#fbaed2,251,174,210
157,lavender_purple,Lavender Purple,#967bb6,150,123,182
158,lawn_green,Lawn Green,#7cfc00,124,252,0
159,light_blue,Light Blue,#add8e6,173,216,230
160,light_carmine_pink,Light Carmine Pink,#e66771,230,103,113
161,light_cornflower_blue,Light Cornflower Blue,#93ccea,147,204,234
162,light_fuchsia_pink,Light Fuchsia Pink,#f984ef,249,132,239
163,light_goldenrod_yellow,Light Goldenrod Yellow,#fafad2,250,250,210
164,light_green,Light Green,#90ee90,144,238,144
165,light_pastel_purple,Light Pastel Purple,#b19cd9,177,156,217
166,light_pink,Light Pink,#ffb6c1,255,182,193
167,light_red_ochre,Light Red Ochre,#e97451,233,116,81
168,light_salmon_pink,Light Salmon Pink,#f99,255,153,153
169,light_sea_green,Light Sea Green,#20b2aa,32,178,170
170,light_sky_blue,Light Sky Blue,#87cefa,135,206,250
171,light_thulian_pink,Light Thulian Pink,#e68fac,230,143,172
172,light_yellow,Light Yellow,#ffffe0,255,255,224
173,lime_green,Lime Green,#32cd32,50,205,50
174,lime_web_x11_green,Lime (Web) (X11 Green),#0f0,0,255,0
175,lincoln_green,Lincoln Green,#195905,25,89,5
176,little_boy_blue,Little Boy Blue,#6ca0dc,108,160,220
177,majorelle_blue,Majorelle Blue,#6050dc,96,80,220
178,maya_blue,Maya Blue,#73c2fb,115,194,251
179,medium_blue,Medium Blue,#0000cd,0,0,205
180,medium_candy_apple_red,Medium Candy Apple Red,#e2062c,226,6,44
181,medium_electric_blue,Medium Electric Blue,#035096,3,80,150
182,medium_jungle_green,Medium Jungle Green,#1c352d,28,53,45
183,medium_persian_blue,Medium Persian Blue,#0067a5,0,103,165
184,medium_purple,Medium Purple,#9370db,147,112,219
185,medium_red_violet,Medium Red-Violet,#bb3385,187,51,133
186,medium_sea_green,Medium Sea Green,#3cb371,60,179,113
187,medium_slate_blue,Medium Slate Blue,#7b68ee,123,104,238
188,medium_spring_green,Medium Spring Green,#00fa9a,0,250,154
189,medium_tuscan_red,Medium Tuscan Red,#79443b,121,68,59
190,medium_violet_red,Medium Violet-Red,#c71585,199,21,133
191,mellow_yellow,Mellow Yellow,#f8de7e,248,222,126
192,midnight_blue,Midnight Blue,#191970,25,25,112
193,midnight_green_eagle_green,Midnight Green (Eagle Green),#004953,0,73,83
194,mikado_yellow,Mikado Yellow,#ffc40c,255,196,12
195,mint_green,Mint Green,#98ff98,152,255,152
196,moonstone_blue,Moonstone Blue,#73a9c2,115,169,194
197,mordant_red_19,Mordant Red 19,#ae0c00,174,12,0
198,moss_green,Moss Green,#addfad,173,223,173
199,mountbatten_pink,Mountbatten Pink,#997a8d,153,122,141
200,msu_green,Msu Green,#18453b,24,69,59
201,nadeshiko_pink,Nadeshiko Pink,#f6adc6,246,173,198
202,napier_green,Napier Green,#2a8000,42,128,0
203,naples_yellow,Naples Yellow,#fada5e,250,218,94
204,navy_blue,Navy Blue,#000080,0,0,128
205,neon_green,Neon Green,#39ff14,57,255,20
206,new_york_pink,New York Pink,#d7837f,215,131,127
207,non_photo_blue,Non-Photo Blue,#a4dded,164,221,237
208,north_texas_green,North Texas Green,#059033,5,144,51
209,ocean_boat_blue,Ocean Boat Blue,#0077be,0,119,190
210,office_green,Office Green,#008000,0,128,0
211,orange_color_wheel,Orange (Color Wheel),#ff7f00,255,127,0
212,orange_peel,Orange Peel,#ff9f00,255,159,0
213,orange_red,Orange-Red,#ff4500,255,69,0
214,orange_ryb,Orange (Ryb),#fb9902,251,153,2
215,orange_web_color,Orange (Web Color),#ffa500,255,165,0
216,ou_crimson_red,Ou Crimson Red,#900,153,0,0
217,outrageous_orange,Outrageous Orange,#ff6e4a,255,110,74
218,oxford_blue,Oxford Blue,#002147,0,33,71
219,pakistan_green,Pakistan Green,#060,0,102,0
220,palatinate_blue,Palatinate Blue,#273be2,39,59,226
221,palatinate_purple,Palatinate Purple,#682860,104,40,96
222,pale_blue,Pale Blue,#afeeee,175,238,238
223,pale_cornflower_blue,Pale Cornflower Blue,#abcdef,171,205,239
224,pale_green,Pale Green,#98fb98,152,251,152
225,pale_pink,Pale Pink,#fadadd,250,218,221
226,pale_red_violet,Pale Red-Violet,#db7093,219,112,147
227,pale_robin_egg_blue,Pale Robin Egg Blue,#96ded1,150,222,209
228,pale_violet_red,Pale Violet-Red,#db7093,219,112,147
229,pansy_purple,Pansy Purple,#78184a,120,24,74
230,paris_green,Paris Green,#50c878,80,200,120
231,pastel_blue,Pastel Blue,#aec6cf,174,198,207
232,pastel_green,Pastel Green,#7d7,119,221,119
233,pastel_orange,Pastel Orange,#ffb347,255,179,71
234,pastel_pink,Pastel Pink,#dea5a4,222,165,164
235,pastel_purple,Pastel Purple,#b39eb5,179,158,181
236,pastel_red,Pastel Red,#ff6961,255,105,97
237,pastel_yellow,Pastel Yellow,#fdfd96,253,253,150
238,peach_orange,Peach-Orange,#fc9,255,204,153
239,peach_yellow,Peach-Yellow,#fadfad,250,223,173
240,pearly_purple,Pearly Purple,#b768a2,183,104,162
241,persian_blue,Persian Blue,#1c39bb,28,57,187
242,persian_green,Persian Green,#00a693,0,166,147
243,persian_orange,Persian Orange,#d99058,217,144,88
244,persian_pink,Persian Pink,#f77fbe,247,127,190
245,persian_red,Persian Red,#c33,204,51,51
246,phthalo_blue,Phthalo Blue,#000f89,0,15,137
247,phthalo_green,Phthalo Green,#123524,18,53,36
248,piggy_pink,Piggy Pink,#fddde6,253,221,230
249,pine_green,Pine Green,#01796f,1,121,111
